corporate	কর্পারাট
corporation	কর্পারেশন
corporations	কর্পারেশনজ
corps	কর
corpse	কর্পস
corpus	কর্পাস
corr	কর
correct	কারেক্ট
corrected	কারেক্টড
correcting	কারেক্টিং
correction	কারেকশন
correctional	কারেকশনাল
corrections	কারেকশনজ
corrective	কারেক্টিভ
correctly	কারেক্টলি
correctness	কারেক্টনেস
correlated	করলেটড
correlation	করেলেশন
correlations	করেলেশনজ
correspond	করেসপন্ড
correspondence	করেসপন্ডেনস
correspondent	করেসপন্ডেন্ট
corresponding	করেসপন্ডিং
corresponds	করেসপন্ডজ
corridor	করিডার
corridors	করিডার্জ
corrosion	কারোজন
corrupt	কারাপ্ট
corrupted	কারাপ্টিড
corruption	কারাপশন
corsair	কর্সেয়ার
cortex	কর্টেক্স
corvette	কর্ভেট
cory	করি
cos	কস
cosmetic	কজমেটিক
cosmetics	কজমেটিক্স
cosmic	কজমিক
cosmopolitan	কজমপলিটান
cosmos	কজমোস
cosponsors	কোসপনসার্জ
cost	কস্ট
costa	কস্টা
costello	কস্টেলো
costing	কস্টিং
costly	কস্টলি
costs	কস্টস
costume	কস্টুম
costumes	কস্টুমজ
cot	কট
cote	কোট
cottage	কটাজ
cottages	কোটিজিজ
cotton	কটন
couch	কাউচ
cough	কফ
could	কুড
council	কাউনসিল
councils	কাউনসিলজ
counsel	কাউনসেল
counseling	কাউনসেলিং
counselor	কাউনসেলার
counselors	কাউনসেলার্জ
count	কাউন্ট
countdown	কাউন্টডাউন
counted	কাউন্টিড
counter	কাউন্টার
counterpart	কাউন্টারপোর্ট
counterparts	কাউন্টারপোর্টস
counters	কাউন্টার্জ
counties	কাউন্টিজ
counting	কাউন্টিং
countless	কাউন্টলেস
countries	কান্ট্রিজ
country	কান্ট্রি
countryside	কান্ট্রিসাইড
countrywide	কান্ট্রিওয়াইড
counts	কাউন্টস
county	কাউন্টি
coup	কু
coupe	কুপ
couple	কাপল
coupled	কাপল্ড
couples	কাপলজ
coupling	কাপলিং
coupon	কুপন
coupons	কুপনজ
courage	কারাজ
courier	কারিআর
course	কর্স
courses	কর্সজ
court	কর্ট
courtesy	কার্টেসি
courthouse	কর্টহাউস
courtney	কর্টনি
courtroom	কর্ট্রুম
courts	কর্টস
courtyard	কর্টিয়োর্ড
cousin	কাজিন
cousins	কাজিনজ
couture	কুটুর
cove	কোভ
covenant	কাভেনান্ট
coventry	কাভেন্ট্রি
cover	কাভার
coverage	কাভারাজ
covered	কাভার্ড
covering	কাভারিং
covers	কাভার্জ
covert	কোভার্ট
covington	কাভিংটন
cow	কাউ
coward	কাউআর্ড
cowboy	কাউবয়
cowboys	কাউবয়জ
cows	কাউজ
cox	কক্স
coyote	কাইওটি
cozy	কোজি
cps	সিপিএস
cpu	সিপিইউ
crab	ক্রাব
crack	ক্রাক
cracked	ক্রাক্ট
cracker	ক্রাকার
crackers	ক্রাকার্জ
cracking	ক্রাকিং
cracks	ক্রাক্স
cradle	ক্রেডল
craft	ক্রাফট
crafted	ক্রাফটিড
crafts	ক্রাফটস
craftsman	ক্রাফটস্মান
craig	ক্রেগ
craigslist	ক্রেগজলিস্ট
cramer	ক্রেমার
cranberry	ক্রানবেরি
crane	ক্রেন
crank	ক্রাংক
crap	ক্রাপ
craps	ক্রাপস
crash	ক্রাশ
crashed	ক্রাশট
crashes	ক্রাশিজ
crashing	ক্রাশিং
crate	ক্রেট
crater	ক্রেটার
crawford	ক্রফার্ড
crawl	ক্রল
crazy	ক্রেজি
cream	ক্রিম
creamy	ক্রিমি
create	ক্রিয়েট
created	ক্রিয়েটড
creates	ক্রিয়েটস
creating	ক্রিয়েটিং
creation	ক্রিয়েশন
creations	ক্রিয়েশনজ
creative	ক্রিয়েটিভ
creativity	ক্রিয়েটিভটি
creator	ক্রিয়েটার
creators	ক্রিয়েটার্জ
creature	ক্রিচার
creatures	ক্রিচার্জ
credentials	ক্রেডেনশিলজ
credibility	ক্রেডিবিলিটি
credible	ক্রেডবল
credit	ক্রেডিট
credited	ক্রেডটড
creditor	ক্রেডিটার
creditors	ক্রেডিটার্জ
credits	ক্রেডিটস
creed	ক্রিড
creek	ক্রিক
creep	ক্রিপ
creepy	ক্রিপি
creme	ক্রিম
creole	ক্রিওল
crescent	ক্রেসেন্ট
crest	ক্রেস্ট
crete	ক্রিট
crew	ক্রু
crews	ক্রুজ
crib	ক্রিব
cricket	ক্রিকেট
cried	ক্রাইড
cries	ক্রাইজ
crime	ক্রাইম
crimes	ক্রাইমজ
criminal	ক্রিমিনাল
criminals	ক্রিমিনালজ
crimson	ক্রিমজন
crises	ক্রাইসিজ
crisis	ক্রাইসিস
crisp	ক্রিসপ
criteria	ক্রাইটিরিয়া
criterion	ক্রাইটিরিয়ান
critic	ক্রিটিক
critical	ক্রিটিকাল
critically	ক্রিটিকালি
criticism	ক্রিটিসিজম
criticized	ক্রিটিসাইজড
critics	ক্রিটিক্স
critique	ক্রটিক
critiques	ক্রিটিক্স
crm	সিঅরেম
croatia	ক্রোএশা
croatian	ক্রোএশন
crochet	ক্রোশে
crocodile	ক্রকডাইল
croix	ক্রয়
cron	ক্রন
crooked	ক্রুকড
crop	ক্রপ
crops	ক্রপস
crosby	ক্রজবি
cross	ক্রস
crosse	ক্রস
crossed	ক্রস্ট
crosses	ক্রসিজ
crossing	ক্রসিং
crossover	ক্রসোভার
crossroads	ক্রসরোডজ
crossword	ক্রসোয়ার্ড
crow	ক্রো
crowd	ক্রাউড
crowded	ক্রাউডড
crowds	ক্রাউডজ
crown	ক্রাউন
crowne	ক্রাউন
crucial	ক্রুশিল
crude	ক্রুড
cruel	ক্রুঅল
cruelty	ক্রুল্টি
cruise	ক্রুজ
cruiser	ক্রুজার
cruises	ক্রুজিজ
cruising	ক্রুজিং
crunch	ক্রান্চ
crusade	ক্রুসেড
crush	ক্রাশ
crushed	ক্রাশট
crust	ক্রাস্ট
cruz	ক্রুজ
cry	ক্রাই
crying	ক্রাইইং
crypt	ক্রিপ্ট
crypto	ক্রিপ্টো
crystal	ক্রিস্টাল
crystals	ক্রিস্টালজ
csi	সিএসাই
csv	সিএসভি
ct	কর্ট
cub	কাব
cuba	কিউবা
cuban	কিউবান
cube	কিউব
cubes	কিউবজ
cubic	কিউবিক
cubs	কাবজ
cucumber	কিউকামবার
cue	কিউ
cues	কিউজ
cuff	কাফ
cuisine	কুইজিন
culinary	কিউলিনেরি
cult	কাল্ট
cultivated	কাল্টভেটিড
cultivation	কল্টিভেশন
cultural	কালচারাল
culturally	কালচারালি
culture	কালচার
cultured	কালচার্ড
cultures	কালচার্জ
cum	কাম
cumberland	কামবারলান্ড
cummings	কামিংজ
cumulative	কিউমিয়লাটিভ
cunningham	কানিংহ্যাম
cunt	কান্ট
cup	কাপ
cups	কাপস
cur	কার
curb	কার্ব
cure	কিউর
cured	কিউর্ড
curiosity	কিউরিয়সটি
curious	কিউরিয়াস
curl	কার্ল
curling	কার্লিং
